Recipe_Id,Rating,Review
1,4.0, It’s good not bad I ate this
2,5.0,"Awesome,delicious"
3,3.0, Average It was much better on that day
4,5.0, Delicious
5,5.0," Awesome,delicious"
6,5.0, Delicious
7,5.0, Awesome
8,4.0, Okay its nice
9,4.0, Okay its nice and tasty
10,4.0, Tasty enough
11,4.0, It’s good not bad
12,3.5, Overall average
13,3.5, Average not bad
14,3.5, Good
15,3.5, Good average
16,2.0, Bad
17,2.0, Not that awesome
18,2.0, Worst
19,2.0, Bad
20,4.5, Its tasty and tender
21,4.5, Its tasty and soft
22,4.5, Good
23,4.5, Tasty
24,4.5, Fantastic
25,3.5, Okay taste it one time
26,3.5, Okay taste it one time
27,3.5, Not that good
28,3.5, Average rated
29,3.5, Bad and not good enough